revenue,budget,runtime,month,is_summer,is_holiday,is_halloween,num_genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science_Fiction,TV_Movie,Thriller,War,Western,adult,director_popularity,director_experience,main_actor_popularity,actor_popularity,is_franchise,franchise_number,is_sequel,franchise_success,num_writers,other_movies_same_week,language_avg_revenue
17.5139110428745,17.370858648025116,14,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0.0,2,0,17.9715178373071
14.403297778421795,8.648396877031582,88,11,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0.0,0,0,17.9715178373071
16.213405921671733,11.51293546492023,193,2,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,0.0,0,1,0,0.0,4,0,17.9715178373071
11.83040417545605,9.759155181646207,59,12,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0.0,2,0,17.9715178373071
14.375126917328105,12.863354278070094,197,9,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,16.213405921671733,1,16.213405921671733,16.213405921671733,0,1,0,0.0,4,0,17.9715178373071
15.894952224644102,12.206077645517674,85,12,0,1,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0.0,14.403297778421795,0,1,0,0.0,1,0,17.9715178373071
14.690979711984754,0.0,84,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,15.667894805871496,0,1,0,0.0,2,0,17.9715178373071
15.894952224644102,12.429220196836383,71,8,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,1,0,0.0,1,0,17.9715178373071
15.404745967162468,0.0,85,5,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.690979711984754,1,14.690979711984754,14.54547219357453,0,1,0,0.0,2,0,17.9715178373071
14.690979711984754,0.0,89,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15.667894805871496,2,15.667894805871496,15.667894805871496,0,1,0,0.0,2,0,17.9715178373071
9.083869707922235,9.798182590890704,78,2,0,0,0,4,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0,0.0,0.0,0,1,0,0.0,4,0,16.35111915075042
